Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.20,-.18,-.28,-.14,-.29,-.24,-.08,-.17,-.16,-.19,-.21,-.20,***,***,-.20,-.20,-.17
1881,-.09,-.14,.01,-.03,-.04,-.28,-.06,-.02,-.09,-.19,-.26,-.15,-.11,-.12,-.15,-.02,-.12,-.18
1882,.10,.09,.02,-.20,-.17,-.25,-.10,.04,-.01,-.22,-.21,-.25,-.10,-.09,.01,-.12,-.10,-.14
1883,-.33,-.42,-.17,-.24,-.25,-.11,-.08,-.13,-.18,-.11,-.20,-.18,-.20,-.20,-.33,-.22,-.11,-.16
1884,-.18,-.11,-.34,-.36,-.31,-.38,-.34,-.25,-.23,-.22,-.30,-.29,-.27,-.27,-.15,-.34,-.32,-.25
1885,-.64,-.29,-.23,-.44,-.41,-.50,-.28,-.27,-.19,-.18,-.22,-.05,-.31,-.33,-.41,-.36,-.35,-.20
1886,-.41,-.45,-.41,-.29,-.27,-.39,-.16,-.32,-.19,-.25,-.26,-.25,-.30,-.29,-.30,-.32,-.29,-.23
1887,-.66,-.48,-.31,-.37,-.33,-.20,-.19,-.27,-.20,-.32,-.26,-.37,-.33,-.32,-.46,-.34,-.22,-.26
1888,-.43,-.42,-.47,-.28,-.22,-.20,-.09,-.11,-.08,.01,-.01,-.13,-.20,-.22,-.41,-.33,-.14,-.02
1889,-.20,.14,.04,.04,-.03,-.12,-.05,-.18,-.18,-.22,-.30,-.31,-.11,-.10,-.06,.02,-.11,-.23
1890,-.48,-.47,-.41,-.38,-.48,-.27,-.29,-.36,-.36,-.23,-.37,-.30,-.37,-.37,-.42,-.42,-.31,-.32
1891,-.46,-.48,-.15,-.25,-.17,-.22,-.22,-.21,-.13,-.23,-.37,-.01,-.24,-.27,-.41,-.19,-.22,-.25
1892,-.26,-.15,-.36,-.35,-.25,-.20,-.28,-.20,-.25,-.16,-.50,-.29,-.27,-.25,-.14,-.32,-.22,-.30
1893,-.68,-.51,-.24,-.33,-.35,-.23,-.13,-.24,-.18,-.16,-.17,-.37,-.30,-.29,-.49,-.30,-.20,-.17
1894,-.55,-.32,-.21,-.42,-.30,-.43,-.32,-.28,-.22,-.16,-.25,-.22,-.31,-.32,-.41,-.31,-.34,-.21
1895,-.44,-.43,-.29,-.23,-.23,-.25,-.17,-.16,-.02,-.10,-.16,-.12,-.22,-.22,-.36,-.25,-.19,-.09
1896,-.23,-.15,-.30,-.32,-.20,-.13,-.06,-.09,-.04,.04,-.16,-.12,-.15,-.15,-.17,-.27,-.10,-.05
