DATE,UMCSENT
2000-01-01,112.0
2000-02-01,111.3
2000-03-01,107.1
2000-04-01,109.2
2000-05-01,110.7
2000-06-01,106.4
2000-07-01,108.3
2000-08-01,107.3
2000-09-01,106.8
2000-10-01,105.8
2000-11-01,107.6
2000-12-01,98.4
2001-01-01,94.7
2001-02-01,90.6
2001-03-01,91.5
2001-04-01,88.4
2001-05-01,92.0
2001-06-01,92.6
2001-07-01,92.4
2001-08-01,91.5
2001-09-01,81.8
2001-10-01,82.7
2001-11-01,83.9
2001-12-01,88.8
2002-01-01,93.0
2002-02-01,90.7
2002-03-01,95.7
2002-04-01,93.0
2002-05-01,96.9
2002-06-01,92.4
2002-07-01,88.1
2002-08-01,87.6
2002-09-01,86.1
2002-10-01,80.6
2002-11-01,84.2
2002-12-01,86.7
2003-01-01,82.4
2003-02-01,79.9
2003-03-01,77.6
2003-04-01,86.0
2003-05-01,92.1
2003-06-01,89.7
2003-07-01,90.9
2003-08-01,89.3
2003-09-01,87.7
2003-10-01,89.6
2003-11-01,93.7
2003-12-01,92.6
2004-01-01,103.8
2004-02-01,94.4
2004-03-01,95.8
2004-04-01,94.2
2004-05-01,90.2
2004-06-01,95.6
2004-07-01,96.7
2004-08-01,95.9
2004-09-01,94.2
2004-10-01,91.7
2004-11-01,92.8
2004-12-01,97.1
2005-01-01,95.5
2005-02-01,94.1
2005-03-01,92.6
2005-04-01,87.7
2005-05-01,86.9
2005-06-01,96.0
2005-07-01,96.5
2005-08-01,89.1
2005-09-01,76.9
2005-10-01,74.2
2005-11-01,81.6
2005-12-01,91.5
2006-01-01,91.2
2006-02-01,86.7
2006-03-01,88.9
2006-04-01,87.4
2006-05-01,79.1
2006-06-01,84.9
2006-07-01,84.7
2006-08-01,82.0
2006-09-01,85.4
2006-10-01,93.6
2006-11-01,92.1
2006-12-01,91.7
2007-01-01,96.9
2007-02-01,91.3
2007-03-01,88.4
2007-04-01,87.1
2007-05-01,88.3
2007-06-01,85.3
2007-07-01,90.4
2007-08-01,83.4
2007-09-01,83.4
2007-10-01,80.9
2007-11-01,76.1
2007-12-01,75.5
2008-01-01,78.4
2008-02-01,70.8
2008-03-01,69.5
2008-04-01,62.6
2008-05-01,59.8
2008-06-01,56.4
2008-07-01,61.2
2008-08-01,63.0
2008-09-01,70.3
2008-10-01,57.6
2008-11-01,55.3
2008-12-01,60.1
2009-01-01,61.2
2009-02-01,56.3
2009-03-01,57.3
2009-04-01,65.1
2009-05-01,68.7
2009-06-01,70.8
2009-07-01,66.0
2009-08-01,65.7
2009-09-01,73.5
2009-10-01,70.6
2009-11-01,67.4
2009-12-01,72.5
2010-01-01,74.4
2010-02-01,73.6
2010-03-01,73.6
2010-04-01,72.2
2010-05-01,73.6
2010-06-01,76.0
2010-07-01,67.8
2010-08-01,68.9
2010-09-01,68.2
2010-10-01,67.7
2010-11-01,71.6
2010-12-01,74.5
2011-01-01,74.2
2011-02-01,77.5
2011-03-01,67.5
2011-04-01,69.8
2011-05-01,74.3
2011-06-01,71.5
2011-07-01,63.7
2011-08-01,55.8
2011-09-01,59.5
2011-10-01,60.8
2011-11-01,63.7
2011-12-01,69.9
2012-01-01,75.0
2012-02-01,75.3
2012-03-01,76.2
2012-04-01,76.4
2012-05-01,79.3
2012-06-01,73.2
2012-07-01,72.3
2012-08-01,74.3
2012-09-01,78.3
2012-10-01,82.6
2012-11-01,82.7
2012-12-01,72.9
2013-01-01,73.8
2013-02-01,77.6
2013-03-01,78.6
2013-04-01,76.4
2013-05-01,84.5
2013-06-01,84.1
2013-07-01,85.1
2013-08-01,82.1
2013-09-01,77.5
2013-10-01,73.2
2013-11-01,75.1
2013-12-01,82.5
2014-01-01,81.2
2014-02-01,81.6
2014-03-01,80.0
2014-04-01,84.1
2014-05-01,81.9
2014-06-01,82.5
2014-07-01,81.8
2014-08-01,82.5
2014-09-01,84.6
2014-10-01,86.9
2014-11-01,88.8
2014-12-01,93.6
2015-01-01,98.1
2015-02-01,95.4
2015-03-01,93.0
2015-04-01,95.9
2015-05-01,90.7
2015-06-01,96.1
2015-07-01,93.1
2015-08-01,91.9
2015-09-01,87.2
2015-10-01,90.0
2015-11-01,91.3
2015-12-01,92.6
2016-01-01,92.0
2016-02-01,91.7
2016-03-01,91.0
2016-04-01,89.0
2016-05-01,94.7
2016-06-01,93.5
2016-07-01,90.0
